district,current_votes,total_votes,percent
Delaware at large,488270,488270,99
Florida’s 1st district,438389,468000,94
Florida’s 2nd district,328203,355000,92
Florida’s 3rd district,390349,433000,90
Florida’s 4th district,504915,519000,97
Florida’s 5th district,336912,384000,88
Florida’s 6th district,438231,468000,94
Florida’s 7th district,406331,447000,91
Florida’s 8th district,459871,495000,93
Florida’s 9th district,429208,439000,98
Florida’s 10th district,376507,389000,97
Florida’s 11th district,475023,506000,94
Florida’s 12th district,453069,468000,97
Florida’s 13th district,406531,448000,91
Florida’s 14th district,371998,407000,91
Florida’s 15th district,390684,415000,94
Florida’s 16th district,484121,492000,98
Florida’s 17th district,412310,436000,95
Florida’s 18th district,449616,475000,95
Florida’s 19th district,444840,469000,95
Florida’s 20th district,322354,356000,91
Florida’s 21st district,403171,433000,93
Florida’s 22nd district,402224,439000,92
Florida’s 23rd district,381091,416000,92
Florida’s 24th district,289965,327000,99
Florida’s 25th district,0,0,0
Florida’s 26th district,342588,359000,99
Florida’s 27th district,343276,369000,93
Georgia’s 1st district,324902,345000,94
Georgia’s 2nd district,273013,318000,86
Georgia’s 3rd district,369200,400000,92
Georgia’s 4th district,348197,383000,91
Georgia’s 5th district,354423,392000,90
Georgia’s 6th district,397042,428000,93
Georgia’s 7th district,371464,381000,97
Georgia’s 8th district,307985,340000,91
Georgia’s 9th district,372500,381000,98
Georgia’s 10th district,378169,404000,94
Georgia’s 11th district,405881,422000,96
Georgia’s 12th district,310100,343000,90
Georgia’s 13th district,359703,386000,93
Georgia’s 14th district,305068,307000,99
Hawaii’s 1st district,254147,260000,98
Hawaii’s 2nd district,271850,273000,99
Idaho’s 1st district,442556,403000,99
Idaho’s 2nd district,366665,371000,99
Illinois’s 1st district,305777,366000,84
Illinois’s 2nd district,278900,340000,82
Illinois’s 3rd district,279239,320000,87
Illinois’s 4th district,211753,236000,90
Illinois’s 5th district,346714,366000,95
Illinois’s 6th district,387738,400000,97
Illinois’s 7th district,287415,348000,83
Illinois’s 8th district,234550,255000,92
Illinois’s 9th district,326360,381000,86
Illinois’s 10th district,295412,323000,91
Illinois’s 11th district,295490,314000,94
Illinois’s 12th district,321197,357000,90
Illinois’s 13th district,328958,362000,91
Illinois’s 14th district,392605,388000,99
Illinois’s 15th district,322098,359000,90
Illinois’s 16th district,329492,350000,94
Illinois’s 17th district,296568,325000,91
Illinois’s 18th district,365984,389000,94
Indiana’s 1st district,326527,337000,97
Indiana’s 2nd district,295639,309000,96
Indiana’s 3rd district,325673,327000,99
Indiana’s 4th district,337338,339000,99
Indiana’s 5th district,415856,411000,99
Indiana’s 6th district,327660,338000,97
Indiana’s 7th district,282023,297000,95
Indiana’s 8th district,320488,337000,95
Indiana’s 9th district,358866,364000,99
Iowa’s 1st district,412731,454000,91
Iowa’s 2nd district,393672,441000,89
Iowa’s 3rd district,447547,468000,96
Iowa’s 4th district,381701,441000,87
Kansas’s 1st district,285836,294000,97
Kansas’s 2nd district,329253,334000,99
Kansas’s 3rd district,397886,387000,99
Kansas’s 4th district,308355,305000,99
Kentucky’s 1st district,328498,376000,87
Kentucky’s 2nd district,360388,393000,92
Kentucky’s 3rd district,367999,412000,89
Kentucky’s 4th district,382480,408000,95
Kentucky’s 5th district,298470,337000,89
Kentucky’s 6th district,378392,407000,95
Louisiana’s 1st district,374369,396000,95
Louisiana’s 2nd district,316982,368000,86
Louisiana’s 3rd district,340120,381000,89
Louisiana’s 4th district,306578,360000,85
Louisiana’s 5th district,309556,366000,85
Louisiana’s 6th district,373996,396000,94
Maine’s 1st district,352234,453000,78
Maine’s 2nd district,325870,406000,80
Maryland’s 1st district,367946,411000,90
Maryland’s 2nd district,292544,354000,83
Maryland’s 3rd district,338032,385000,88
Maryland’s 4th district,335722,364000,92
Maryland’s 5th district,378366,408000,93
Maryland’s 6th district,318660,378000,84
Maryland’s 7th district,302424,360000,84
Maryland’s 8th district,344617,409000,84
Massachusetts’s 1st district,255522,340000,75
Massachusetts’s 2nd district,372230,394000,94
Massachusetts’s 3rd district,253302,349000,73
Massachusetts’s 4th district,363910,428000,85
Massachusetts’s 5th district,373670,419000,89
Massachusetts’s 6th district,404974,450000,92
Massachusetts’s 7th district,150204,302000,50
Massachusetts’s 8th district,261515,383000,68
Massachusetts’s 9th district,417571,439000,95
Michigan’s 1st district,416121,430000,97
Michigan’s 2nd district,401262,409000,99
Michigan’s 3rd district,402469,416000,97
Michigan’s 4th district,374045,388000,96
Michigan’s 5th district,362908,387000,94
Michigan’s 6th district,378421,395000,96
Michigan’s 7th district,387260,402000,96
Michigan’s 8th district,428341,443000,98
Michigan’s 9th district,401085,420000,95
Michigan’s 10th district,409573,423000,97
Michigan’s 11th district,450372,466000,97
Michigan’s 12th district,383864,400000,96
Michigan’s 13th district,282745,314000,90
Michigan’s 14th district,334796,377000,89
Minnesota’s 1st district,368468,399000,92
Minnesota’s 2nd district,423070,443000,96
Minnesota’s 3rd district,438580,457000,96
Minnesota’s 4th district,384257,419000,92
Minnesota’s 5th district,396776,427000,93
Minnesota’s 6th district,413622,427000,97
Minnesota’s 7th district,352038,395000,89
Minnesota’s 8th district,393058,421000,93
Mississippi’s 1st district,310004,342000,91
Mississippi’s 2nd district,252873,321000,79
Mississippi’s 3rd district,296214,357000,83
Mississippi’s 4th district,236170,284000,84
Missouri’s 1st district,311357,352000,88
Missouri’s 2nd district,443762,467000,95
Missouri’s 3rd district,406861,417000,98
Missouri’s 4th district,362526,375000,97
Missouri’s 5th district,350238,362000,97
Missouri’s 6th district,387809,390000,99
Missouri’s 7th district,363839,357000,99
Missouri’s 8th district,329996,350000,94
Montana at large,598549,590000,99
Nebraska’s 1st district,313641,310000,99
Nebraska’s 2nd district,330385,323000,99
Nebraska’s 3rd district,286267,299000,96
Nevada’s 1st district,207592,244000,85
Nevada’s 2nd district,375414,405000,93
Nevada’s 3rd district,395068,404000,98
Nevada’s 4th district,315420,344000,92
New Hampshire’s 1st district,400691,432000,93
New Hampshire’s 2nd district,383256,418000,92
New Jersey’s 1st district,321226,376000,85
New Jersey’s 2nd district,339565,373000,91
New Jersey’s 3rd district,403842,424000,95
New Jersey’s 4th district,393442,407000,97
New Jersey’s 5th district,392176,416000,94
New Jersey’s 6th district,278860,331000,84
New Jersey’s 7th district,376900,431000,87
New Jersey’s 8th district,172114,262000,66
New Jersey’s 9th district,262695,316000,83
New Jersey’s 10th district,232734,313000,74
New Jersey’s 11th district,359454,442000,81
New Jersey’s 12th district,281632,359000,78
New Mexico’s 1st district,319125,328000,97
New Mexico’s 2nd district,262138,272000,97
New Mexico’s 3rd district,301051,319000,94
New York’s 1st district,287591,374000,77
New York’s 2nd district,272649,348000,78
New York’s 3rd district,273215,380000,72
New York’s 4th district,283841,371000,77
New York’s 5th district,182481,270000,68
New York’s 6th district,169455,228000,74
New York’s 7th district,171880,225000,76
New York’s 8th district,212013,281000,75
New York’s 9th district,209692,280000,75
New York’s 10th district,175271,289000,61
New York’s 11th district,235606,276000,85
New York’s 12th district,194520,338000,58
New York’s 13th district,199123,278000,72
New York’s 14th district,153374,215000,71
New York’s 15th district,154669,209000,74
New York’s 16th district,195338,309000,63
New York’s 17th district,251654,350000,72
New York’s 18th district,266202,342000,78
New York’s 19th district,282539,355000,80
New York’s 20th district,286634,358000,80
New York’s 21st district,259193,311000,83
New York’s 22nd district,256986,322000,80
New York’s 23rd district,256100,322000,80
New York’s 24th district,266401,343000,78
New York’s 25th district,251039,363000,69
New York’s 26th district,256102,335000,76
New York’s 27th district,319833,385000,83
North Carolina’s 1st district,346102,444000,78
North Carolina’s 2nd district,493825,497000,99
North Carolina’s 3rd district,358755,411000,87
North Carolina’s 4th district,489685,516000,95
North Carolina’s 5th district,381850,448000,85
North Carolina’s 6th district,402223,449000,90
North Carolina’s 7th district,430282,448000,96
North Carolina’s 8th district,378575,418000,91
North Carolina’s 9th district,400286,434000,92
North Carolina’s 10th district,408834,444000,92
North Carolina’s 11th district,447428,455000,99
North Carolina’s 12th district,340917,428000,80
North Carolina’s 13th district,314114,455000,69
North Dakota at large,355530,395000,90
Ohio’s 1st district,372797,416000,90
Ohio’s 2nd district,357492,405000,88
Ohio’s 3rd district,307806,359000,86
Ohio’s 4th district,340383,370000,92
Ohio’s 5th district,369958,410000,90
Ohio’s 6th district,327777,365000,90
Ohio’s 7th district,342478,375000,91
Ohio’s 8th district,349801,391000,89
Ohio’s 9th district,292489,344000,85
Ohio’s 10th district,356332,401000,89
Ohio’s 11th district,291265,369000,79
Ohio’s 12th district,427108,446000,96
Ohio’s 13th district,322968,365000,88
Ohio’s 14th district,389343,421000,92
Ohio’s 15th district,372814,406000,92
Ohio’s 16th district,389721,421000,93
Oklahoma’s 1st district,335471,335471,99
Oklahoma’s 2nd district,288527,288527,99
Oklahoma’s 3rd district,309178,309178,99
Oklahoma’s 4th district,314358,314358,99
Oklahoma’s 5th district,303849,303849,99
Oregon’s 1st district,454925,437000,99
Oregon’s 2nd district,449474,435000,99
Oregon’s 3rd district,466896,455000,99
Oregon’s 4th district,463117,447000,99
Oregon’s 5th district,446632,426000,99
Pennsylvania’s 1st district,433841,452000,96
Pennsylvania’s 2nd district,262970,330000,80
Pennsylvania’s 3rd district,360322,434000,83
Pennsylvania’s 4th district,437483,444000,99
Pennsylvania’s 5th district,389639,427000,91
Pennsylvania’s 6th district,393342,410000,96
Pennsylvania’s 7th district,371004,386000,96
Pennsylvania’s 8th district,340363,363000,94
Pennsylvania’s 9th district,344980,366000,94
Pennsylvania’s 10th district,383979,405000,95
Pennsylvania’s 11th district,379487,387000,98
Pennsylvania’s 12th district,339254,356000,95
Pennsylvania’s 13th district,362757,371000,98
Pennsylvania’s 14th district,368082,387000,95
Pennsylvania’s 15th district,345015,359000,96
Pennsylvania’s 16th district,349704,375000,93
Pennsylvania’s 17th district,426259,446000,96
Pennsylvania’s 18th district,375038,420000,89
Rhode Island’s 1st district,221491,242000,92
Rhode Island’s 2nd district,263435,268000,98
South Carolina’s 1st district,426669,403000,99
South Carolina’s 2nd district,363996,379000,96
South Carolina’s 3rd district,333256,339000,98
South Carolina’s 4th district,360239,359000,99
South Carolina’s 5th district,365963,365000,99
South Carolina’s 6th district,289381,318000,91
South Carolina’s 7th district,363856,355000,99
South Dakota at large,397732,397732,99
Tennessee’s 1st district,304651,308000,99
Tennessee’s 2nd district,352319,337000,99
Tennessee’s 3rd district,319850,321000,99
Tennessee’s 4th district,334438,321000,99
Tennessee’s 5th district,250001,277000,90
Tennessee’s 6th district,349052,346000,99
Tennessee’s 7th district,349952,339000,99
Tennessee’s 8th district,331251,345000,96
Tennessee’s 9th district,242082,258000,94
Texas’s 1st district,300744,339000,89
Texas’s 2nd district,351609,364000,97
Texas’s 3rd district,414436,418000,99
Texas’s 4th district,339935,361000,94
Texas’s 5th district,279622,301000,93
Texas’s 6th district,338899,360000,94
Texas’s 7th district,311335,337000,92
Texas’s 8th district,381863,381000,99
Texas’s 9th district,227885,247000,92
Texas’s 10th district,411174,413000,99
Texas’s 11th district,290841,321000,92
Texas’s 12th district,365313,365000,99
Texas’s 13th district,273317,309000,89
Texas’s 14th district,307553,340000,90
Texas’s 15th district,227832,238000,97
Texas’s 16th district,226528,249000,91
Texas’s 17th district,305838,325000,94
Texas’s 18th district,245602,266000,92
Texas’s 19th district,263935,295000,89
Texas’s 20th district,266719,280000,95
Texas’s 21st district,445349,471000,95
Texas’s 22nd district,406799,402000,99
Texas’s 23rd district,291164,304000,99
Texas’s 24th district,343239,362000,95
Texas’s 25th district,391222,411000,95
Texas’s 26th district,430821,412000,99
Texas’s 27th district,272411,303000,90
Texas’s 28th district,234038,244000,96
Texas’s 29th district,155515,173000,90
Texas’s 30th district,264464,285000,93
Texas’s 31st district,394303,377000,99
Texas’s 32nd district,343490,365000,94
Texas’s 33rd district,157205,168000,94
Texas’s 34th district,200198,222000,90
Texas’s 35th district,266925,259000,99
Texas’s 36th district,301079,329000,92
Utah’s 1st district,332905,331000,99
Utah’s 2nd district,343251,335000,99
Utah’s 3rd district,344792,343000,99
Utah’s 4th district,363648,330000,99
Vermont at large,354671,355000,99
Virginia’s 1st district,447642,463000,97
Virginia’s 2nd district,358554,382000,94
Virginia’s 3rd district,340625,379000,90
Virginia’s 4th district,395355,425000,93
Virginia’s 5th district,401856,435000,92
Virginia’s 6th district,381537,405000,98
Virginia’s 7th district,457674,467000,98
Virginia’s 8th district,396819,431000,92
Virginia’s 9th district,271851,317000,86
Virginia’s 10th district,474990,481000,99
Virginia’s 11th district,392113,418000,94
Washington’s 1st district,422448,398000,99
Washington’s 2nd district,398155,379000,99
Washington’s 3rd district,414359,360000,99
Washington’s 4th district,298459,277000,99
Washington’s 5th district,385890,371000,99
Washington’s 6th district,411683,380000,99
Washington’s 7th district,464037,474000,98
Washington’s 8th district,408401,373000,99
Washington’s 9th district,347361,332000,99
Washington’s 10th district,285752,337000,85
West Virginia’s 1st district,260538,269000,97
West Virginia’s 2nd district,270681,276000,98
West Virginia’s 3rd district,225656,241000,94
Wisconsin’s 1st district,370974,431000,86
Wisconsin’s 2nd district,456789,500000,91
Wisconsin’s 3rd district,389365,436000,89
Wisconsin’s 4th district,311333,374000,83
Wisconsin’s 5th district,445702,484000,92
Wisconsin’s 6th district,399719,443000,90
Wisconsin’s 7th district,414815,448000,93
Wisconsin’s 8th district,371276,448000,83
Wyoming at large,270367,270367,99
Alabama’s 1st district,300762,340000,88
Alabama’s 2nd district,302207,320000,94
Alabama’s 3rd district,247687,324000,76
Alabama’s 4th district,297398,326000,91
Alabama’s 5th district,122516,310000,40
Alabama’s 6th district,281267,334000,84
Alabama’s 7th district,208711,294000,71
Alaska at large,258712,367000,74
Arizona’s 1st district,362262,354000,99
Arizona’s 2nd district,373162,392000,95
Arizona’s 3rd district,266062,255000,99
Arizona’s 4th district,393578,365000,99
Arizona’s 5th district,444680,406000,99
Arizona’s 6th district,416618,420000,99
Arizona’s 7th district,215127,201000,99
Arizona’s 8th district,421693,406000,99
Arizona’s 9th district,351415,347000,99
Arkansas’s 1st district,236828,235000,99
Arkansas’s 2nd district,327503,344000,95
Arkansas’s 3rd district,332167,328000,99
Arkansas’s 4th district,278615,304000,93
California’s 10th district,258085,276000,94
California’s 11th district,363987,357000,99
California’s 12th district,360628,381000,95
California’s 13th district,352615,381000,93
California’s 14th district,338603,340000,99
California’s 15th district,335242,325000,99
California’s 16th district,204188,194000,99
California’s 17th district,285785,284000,99
California’s 18th district,330147,382000,86
California’s 19th district,296694,294000,99
California’s 1st district,335831,358000,94
California’s 20th district,296870,293000,99
California’s 22nd district,308536,274000,99
California’s 23rd district,210083,280000,75
California’s 24th district,350667,356000,99
California’s 26th district,340510,334000,99
California’s 27th district,310762,302000,99
California’s 28th district,327682,330000,99
California’s 29th district,204955,208000,99
California’s 2nd district,317114,394000,80
California’s 30th district,337460,346000,98
California’s 31st district,234492,261000,90
California’s 32nd district,252947,251000,99
California’s 33rd district,372080,404000,92
California’s 35th district,194297,215000,90
California’s 36th district,217656,271000,80
California’s 37th district,289104,315000,92
California’s 38th district,249643,264000,95
California’s 3rd district,272777,299000,91
California’s 40th district,180504,188000,96
California’s 41st district,189202,236000,80
California’s 43rd district,270701,267000,99
California’s 44th district,200086,210000,95
California’s 45th district,405977,372000,99
California’s 46th district,222221,206000,99
California’s 47th district,303391,295000,99
California’s 49th district,380949,362000,99
California’s 4th district,421256,403000,99
California’s 51st district,225623,235000,96
California’s 52nd district,392912,376000,99
California’s 53rd district,331556,354000,94
California’s 5th district,299747,348000,86
California’s 6th district,229940,278000,83
California’s 7th district,292739,347000,84
California’s 9th district,234672,272000,86
Colorado’s 1st district,449765,475000,95
Colorado’s 2nd district,504623,557000,91
Colorado’s 3rd district,420063,449000,94
Colorado’s 4th district,468809,475000,99
Colorado’s 5th district,428213,439000,98
Colorado’s 6th district,435432,449000,97
Colorado’s 7th district,422592,442000,96
Connecticut’s 1st district,351036,369000,95
Connecticut’s 2nd district,367245,382000,96
Connecticut’s 3rd district,387271,361000,99
Connecticut’s 4th district,361881,368000,98
Connecticut’s 5th district,349598,362000,97
United States’s 0th district,146094195,157570752,93
California’s 21st district,140674,154000,91
California’s 25th district,330197,315000,99
California’s 34th district,199259,196000,99
California’s 39th district,330960,314000,99
California’s 42nd district,272252,306000,89
California’s 48th district,390474,362000,99
California’s 50th district,349532,334000,99
California’s 8th district,233918,266000,88
